"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_244"	1	8757	1728	3	12	20	20	0.578869918426122	-2.31992802603817	1.40840645416264
"cell_245"	1	22560	2837	3	4	12	12	1.36109406752217	-0.172944954362954	2.96050506174156
"cell_246"	1	24351	2942	3	29	7	7	1.4850925950291	0.270994049934997	2.1930970302613
"cell_247"	1	13580	2202	3	3	11	11	0.794254089717721	-0.504757559362577	-2.91910512458879
"cell_248"	1	10080	1940	3	8	16	16	0.632998047271999	-0.149848124235564	4.36335782767206
"cell_249"	1	21305	2747	3	4	12	12	1.2893770203476	-0.035076060451446	2.49189024405565
"cell_250"	1	9414	1804	3	2	2	2	0.568375390581553	0.411586730177884	-4.40028309939389
"cell_251"	1	13567	2272	3	32	10	10	0.855143032712751	-0.705118781584399	2.66081709103761
"cell_252"	1	13087	2238	3	29	7	7	0.830020012290281	-4.85312773842123	2.02961762197167
"cell_253"	1	17188	2495	3	2	2	2	1.0647399986767	2.47438799387522	-1.1009217399437
"cell_254"	1	21423	2828	3	30	8	8	1.25649658009845	-3.47729493822753	0.919925096542749
"cell_255"	1	13434	2333	3	29	7	7	0.872112653177018	-1.89127675405471	0.798176104198184
"cell_256"	1	4260	1035	3	12	20	20	0.247550138342979	-1.24458399723075	4.73591694529381
"cell_257"	1	7413	1539	3	32	10	10	0.486152944493003	0.329360389137642	-1.39447555804202
"cell_258"	1	20631	2762	3	11	19	19	1.29819242351986	-1.1748395565025	-0.956446846596989
"cell_259"	1	19392	2661	3	7	15	15	1.21078845315802	-2.52089755388845	-1.24827252393222
"cell_260"	1	15631	2450	3	9	17	17	0.983389845264183	-3.3034208364763	-0.941383333295436
"cell_261"	1	19718	2694	3	10	18	18	1.20163785689154	-2.24752474202462	-0.0930562526515638
"cell_262"	1	14968	2414	3	9	17	17	0.945172317253481	-0.502653107726597	1.38956489897611
"cell_263"	1	33063	3194	3	9	17	17	2.08554671279214	-2.28434974773413	-2.1647427733497
"cell_264"	1	24525	2938	3	27	5	5	1.55664364613839	-1.98465798985301	3.27685051575136
"cell_265"	1	15447	2413	3	13	3	3	0.94661855156782	2.19529002368137	0.234973991896169
